date,open,high,low,close,volume,amount
2021-01-04 09:33:00,18.1730865,18.1730865,17.7544394,17.7639542,9827958.0,185525046.0
2021-01-04 09:36:00,17.7639542,17.7639542,17.6022042,17.7258953,6237812.0,115876286.0
2021-01-04 09:39:00,17.7163806,17.7258953,17.640263,17.6878365,5198431.0,96532566.0
2021-01-04 09:42:00,17.6688071,17.73541,17.5451159,17.7163806,6850759.0,126906208.0
2021-01-04 09:45:00,17.6783218,17.8400718,17.6783218,17.8400718,4334938.0,80863543.0
2021-01-04 09:48:00,17.8400718,17.8591012,17.7734689,17.7734689,3720762.0,69630085.0
2021-01-04 09:51:00,17.7829836,17.7829836,17.7258953,17.7544394,1523174.0,28418426.0
2021-01-04 09:54:00,17.7544394,17.7544394,17.6783218,17.6973512,2287713.0,42572623.0
2021-01-04 09:57:00,17.6973512,17.7639542,17.6973512,17.7639542,1813400.0,33787163.0
2021-01-04 10:00:00,17.7544394,17.8876453,17.7544394,17.8591012,1543913.0,28915552.0
2021-01-04 10:03:00,17.8591012,17.89716,17.8115277,17.8400718,2006100.0,37652584.0
2021-01-04 10:06:00,17.8115277,17.8591012,17.7924983,17.8305571,2588000.0,48467934.0
2021-01-04 10:09:00,17.8115277,17.8495865,17.7544394,17.802013,1722497.0,32237702.0
2021-01-04 10:12:00,17.8210424,17.8210424,17.7163806,17.7163806,1969309.0,36758078.0
2021-01-04 10:15:00,17.7258953,17.7449247,17.6497777,17.73541,2827544.0,52579045.0
2021-01-04 10:18:00,17.7163806,17.7258953,17.6592924,17.6688071,2459900.0,45729722.0
2021-01-04 10:21:00,17.6688071,17.7068659,17.6307483,17.6592924,2715700.0,50404605.0
2021-01-04 10:24:00,17.6592924,17.6783218,17.6212336,17.640263,2246740.0,41656984.0
2021-01-04 10:27:00,17.6307483,17.7163806,17.6117189,17.6783218,1755200.0,32572968.0
2021-01-04 10:30:00,17.6688071,17.73541,17.6497777,17.6973512,1608062.0,29908724.0
2021-01-04 10:33:00,17.6878365,17.7163806,17.6592924,17.6783218,1433500.0,26651375.0
2021-01-04 10:36:00,17.6688071,17.6878365,17.6117189,17.6497777,1992738.0,36973064.0
2021-01-04 10:39:00,17.6307483,17.6783218,17.6307483,17.6307483,1745300.0,32387057.0
2021-01-04 10:42:00,17.6307483,17.6783218,17.6117189,17.640263,1194600.0,22134416.0
2021-01-04 10:45:00,17.6497777,17.7163806,17.6497777,17.6973512,1335926.0,24820336.0
2021-01-04 10:48:00,17.6973512,17.7068659,17.640263,17.640263,1485074.0,27586606.0
2021-01-04 10:51:00,17.6307483,17.6688071,17.6212336,17.6307483,1618926.0,30013069.0
2021-01-04 10:54:00,17.6497777,17.6592924,17.6117189,17.6117189,1558038.0,28855898.0
2021-01-04 10:57:00,17.6117189,17.6783218,17.6117189,17.6592924,1520562.0,28184360.0
2021-01-04 11:00:00,17.6592924,17.6592924,17.6117189,17.6307483,1489533.0,27598299.0
2021-01-04 11:03:00,17.640263,17.6592924,17.6117189,17.6212336,979600.0,18152687.0
2021-01-04 11:06:00,17.6117189,17.6592924,17.6117189,17.6307483,1031300.0,19117085.0
2021-01-04 11:09:00,17.640263,17.6973512,17.6212336,17.6878365,1140500.0,21156632.0
2021-01-04 11:12:00,17.6878365,17.7068659,17.640263,17.6497777,1123820.0,20870204.0
2021-01-04 11:15:00,17.6497777,17.6973512,17.6497777,17.6783218,997251.0,18530064.0
2021-01-04 11:18:00,17.6973512,17.6973512,17.6212336,17.6307483,1565400.0,29035347.0
